-переименовать кнопки на панели





Действие	Кнопка	Примечание

Движение		
Газ	W или Стрелка вверх	
Тормоз	S или Стрелка вниз	
Сцепление	Пробел (SPACE)	Удерживать для переключения
Поворот налево	A или Стрелка влево	
Поворот направо	D или Стрелка вправо	

Коробка передач		
1-я передача	1	(удерживая Пробел)
2-я передача	2	(удерживая Пробел)
3-я передача	3	(удерживая Пробел)
4-я передача	4	(удерживая Пробел)
5-я передача	5	(удерживая Пробел)
Задний ход	R	(удерживая Пробел)
Нейтраль	N	Можно и без сцепления

Свет и сигналы		
Поворотник левый	Q	Вкл/Выкл
Поворотник правый	E	Вкл/Выкл
Фары	F	Цикл: Выкл -> Габариты -> Ближний
Аварийка	X	Вкл/Выкл
Звуковой сигнал	G (или Ctrl)	Бибикнуть!

Прочее		
Дворники	V	Вкл/Выкл
Поднять кузов	B	Спец. действие
